department,arrival_time,number_of_patients,doctor_availability,day_of_week,emergency_status,previous_waiting_time,waiting_time_minutes
Pediatrics,11:30,15,8,Friday,Emergency,43.3,8.1
Orthopedics,18:00,25,5,Tuesday,Normal,44.7,49.3
Pediatrics,10:15,20,6,Tuesday,Normal,48.9,67.4
Surgery,10:45,18,7,Tuesday,Normal,34.9,62.8
Cardiology,15:45,18,2,Friday,Emergency,23.5,50.1
General,11:00,21,3,Tuesday,Normal,54.3,70.2
Pediatrics,14:00,25,4,Saturday,Normal,42.7,83.6
Cardiology,09:15,30,3,Saturday,Normal,21.6,110.2
Cardiology,15:00,19,3,Tuesday,Normal,30.3,62.5
Cardiology,09:00,18,7,Thursday,Normal,22.1,37
Surgery,14:00,30,2,Saturday,Normal,31.1,128.4
General,12:45,19,7,Friday,Normal,27.5,30.9
Cardiology,14:30,20,4,Thursday,Normal,30.2,69.4
Pediatrics,20:15,16,2,Thursday,Emergency,10.8,30.4
Surgery,09:15,42,4,Sunday,Normal,38.2,165.4
General,15:30,15,10,Friday,Normal,49.6,29.2
Pediatrics,05:15,27,4,Friday,Normal,49.5,79
Surgery,10:00,16,4,Friday,Normal,46.1,71.7
Orthopedics,08:45,20,2,Friday,Normal,50.8,92.8
Cardiology,04:30,30,3,Tuesday,Normal,62.4,88.1
Cardiology,14:00,23,7,Friday,Normal,78.1,81.3
Orthopedics,17:15,24,7,Thursday,Emergency,29.6,33.7
General,13:30,19,3,Thursday,Normal,36,47.8
Cardiology,06:30,17,7,Monday,Normal,42.2,33.8
Cardiology,19:00,20,2,Tuesday,Normal,47.7,61
Pediatrics,10:45,26,5,Tuesday,Normal,39,72.3
Pediatrics,15:30,30,5,Saturday,Normal,50.3,101.3
Orthopedics,13:15,27,3,Tuesday,Normal,53.1,81.3
General,09:15,24,5,Friday,Normal,72.3,97
General,12:45,20,1,Tuesday,Normal,37.2,70.2
Pediatrics,08:00,22,1,Friday,Emergency,64.3,76.4
General,23:00,19,4,Tuesday,Normal,36.8,59
Surgery,11:30,30,5,Wednesday,Normal,45.6,102.8
Pediatrics,11:30,19,1,Tuesday,Normal,66.6,91.4
General,09:00,30,8,Monday,Normal,46.4,87.6
Pediatrics,15:15,31,8,Sunday,Normal,42,80.1
Pediatrics,10:30,20,9,Friday,Normal,33.4,30
Surgery,11:45,19,4,Thursday,Normal,31.7,63
Cardiology,07:45,13,8,Wednesday,Normal,16.5,10.7
Pediatrics,10:15,22,8,Wednesday,Normal,38.4,31.6
Surgery,08:45,22,3,Friday,Normal,27.4,90.6
Cardiology,12:30,21,6,Tuesday,Normal,55.5,40.7
Orthopedics,09:15,22,3,Thursday,Normal,34.4,68.6
Pediatrics,13:00,22,7,Thursday,Normal,46,37.7
Pediatrics,13:45,15,3,Wednesday,Normal,70.3,41.7
Cardiology,18:15,27,6,Sunday,Emergency,39,58.5
Surgery,17:30,32,10,Monday,Normal,47.5,109
Cardiology,14:15,24,1,Monday,Normal,39.6,105
General,13:15,29,3,Saturday,Normal,53.4,89.2
Surgery,19:15,30,6,Saturday,Emergency,34.2,61.5
General,11:15,18,2,Tuesday,Emergency,25,48
Pediatrics,15:15,15,4,Tuesday,Normal,49.3,62.4
Pediatrics,13:45,33,6,Saturday,Normal,65.3,79.9
Cardiology,09:00,18,9,Wednesday,Normal,32.7,40.5
Orthopedics,05:30,23,3,Tuesday,Normal,16.6,68.1
Orthopedics,18:30,24,6,Tuesday,Normal,16.8,54.1
Pediatrics,05:45,44,7,Saturday,Normal,45.6,94.5
Pediatrics,18:45,16,5,Friday,Normal,63.1,43.1
General,12:45,22,8,Saturday,Normal,40.7,52.9
Cardiology,12:30,22,5,Saturday,Emergency,32.8,27.8
Surgery,14:15,31,2,Sunday,Normal,44.1,137
Orthopedics,11:15,24,9,Monday,Normal,39.6,51.5
General,12:30,22,8,Thursday,Normal,60.1,61.9
Orthopedics,15:00,21,2,Monday,Normal,7.6,69.5
Orthopedics,18:15,20,7,Tuesday,Normal,51.4,40.2
General,07:45,20,7,Friday,Normal,63,51.9
Pediatrics,11:00,22,4,Saturday,Normal,39.7,87.3
General,13:30,20,7,Wednesday,Normal,5.8,37.8
Pediatrics,13:00,24,4,Tuesday,Normal,31.8,42
Surgery,15:15,18,6,Monday,Normal,73.2,81.4
Pediatrics,09:45,33,6,Sunday,Normal,32.2,95.3
Orthopedics,14:30,23,2,Saturday,Normal,16.7,91.5
Cardiology,12:45,22,3,Saturday,Normal,59.7,72.5
Cardiology,02:30,35,5,Thursday,Normal,32.5,83.6
Cardiology,16:15,23,3,Thursday,Normal,12.5,79.5
Cardiology,12:15,22,7,Sunday,Normal,38.6,52.2
Cardiology,13:15,17,6,Monday,Normal,24.6,33.6
Orthopedics,13:15,22,3,Monday,Normal,38.3,58.3
Cardiology,08:15,13,4,Friday,Normal,29.7,51.6
Surgery,14:30,19,3,Monday,Normal,60.6,103.9
General,17:00,23,9,Sunday,Normal,36.5,66.9
Orthopedics,09:30,16,6,Friday,Normal,45.9,42.4
Cardiology,11:45,22,5,Thursday,Normal,37,68.4
Pediatrics,20:15,19,6,Wednesday,Emergency,30.9,11.6
Surgery,16:45,23,5,Wednesday,Emergency,57.8,74.6
Pediatrics,14:15,23,5,Sunday,Normal,59.7,98
Cardiology,19:15,9,4,Wednesday,Normal,44.7,25.7
Cardiology,12:45,17,10,Friday,Normal,37.5,20.3
Surgery,09:15,28,5,Sunday,Normal,42.4,112.4
General,09:15,13,6,Tuesday,Normal,47.2,49.9
Pediatrics,12:15,34,8,Saturday,Normal,29.8,71.3
Pediatrics,06:45,26,4,Sunday,Normal,13.6,78
Pediatrics,19:15,21,6,Tuesday,Normal,5.4,29.6
General,08:45,21,7,Monday,Normal,38,74.1
Orthopedics,04:00,18,1,Thursday,Normal,42.1,43.6
Orthopedics,10:00,19,7,Friday,Emergency,47.9,27.5
Cardiology,08:45,31,2,Monday,Normal,36.6,109.3
Pediatrics,10:00,25,5,Friday,Normal,50.7,75.5
Orthopedics,18:15,19,6,Tuesday,Normal,15.8,38.8
General,08:15,23,7,Sunday,Normal,37.5,83
Surgery,11:00,29,5,Sunday,Normal,32.8,111.7
Cardiology,06:00,24,3,Sunday,Normal,41.4,82.2
Cardiology,15:30,26,3,Saturday,Normal,36.1,98.9
General,19:30,19,7,Monday,Normal,56.2,42.1
Orthopedics,10:45,25,8,Thursday,Normal,45.8,56.6
Surgery,19:15,25,7,Tuesday,Normal,43.4,70.9
Pediatrics,08:15,16,7,Monday,Normal,26.4,41
Pediatrics,16:45,23,5,Sunday,Emergency,23.2,58.7
Cardiology,06:45,22,6,Monday,Normal,43.8,48.4
Surgery,09:45,37,5,Saturday,Normal,38.6,137.6
General,16:45,26,4,Wednesday,Normal,52,82.3
Surgery,14:00,26,7,Thursday,Normal,26.7,99.4
Cardiology,15:00,20,3,Wednesday,Normal,23.2,70.6
Surgery,11:45,22,4,Friday,Normal,54.3,97.7
Pediatrics,12:30,26,1,Sunday,Emergency,52.1,64.8
Surgery,11:45,30,2,Saturday,Emergency,9,101.2
Orthopedics,08:00,16,3,Monday,Normal,55.6,69.1
General,11:30,22,10,Saturday,Normal,31.1,63.5
Cardiology,14:15,19,3,Monday,Emergency,47.7,50.1
Orthopedics,07:30,27,4,Friday,Normal,61.2,56.2
General,09:30,19,4,Friday,Normal,35.6,80.7
Orthopedics,08:15,27,9,Saturday,Normal,23.6,68.9
Cardiology,07:00,18,3,Monday,Emergency,14.7,12.7
Orthopedics,16:45,21,5,Thursday,Emergency,41.7,27.1
Surgery,06:00,28,7,Sunday,Normal,39.7,92.6
Orthopedics,18:30,27,2,Sunday,Normal,43.8,72.7
Cardiology,14:30,19,8,Friday,Emergency,79.7,26.5
Surgery,13:15,18,3,Wednesday,Normal,24.7,53.7
General,11:30,20,7,Wednesday,Normal,60.4,62
Orthopedics,11:30,32,5,Sunday,Normal,44.3,110.9
Orthopedics,00:30,31,5,Sunday,Normal,32,87.1
Surgery,14:00,21,7,Sunday,Normal,47.7,85.4
Surgery,11:45,22,1,Wednesday,Emergency,45.9,86.6
General,17:45,16,4,Saturday,Normal,40,87.2
Orthopedics,11:30,25,2,Friday,Normal,29.5,89.5
Pediatrics,19:45,22,7,Thursday,Normal,58.6,34.5
Pediatrics,10:30,17,4,Wednesday,Normal,25.5,73.2
Orthopedics,12:15,21,6,Thursday,Normal,24.2,29.7
Orthopedics,13:00,23,3,Wednesday,Normal,40,63.9
General,08:45,33,7,Saturday,Normal,39.1,116.2
Orthopedics,15:15,14,7,Monday,Normal,13.8,34.4
Orthopedics,07:15,19,3,Tuesday,Normal,51.8,54
General,14:45,21,4,Sunday,Normal,41.5,106.5
Cardiology,15:45,22,7,Wednesday,Normal,68.8,74.4
Pediatrics,12:45,23,7,Friday,Normal,30.1,28.7
Pediatrics,07:00,20,7,Friday,Normal,25.9,29.9
Cardiology,12:45,19,5,Monday,Normal,37.3,55.3
Pediatrics,11:30,35,7,Saturday,Normal,20.3,68.9
Surgery,11:15,29,5,Saturday,Normal,40.4,126.2
Pediatrics,11:15,32,6,Saturday,Emergency,46,75.8
Pediatrics,11:30,15,5,Wednesday,Normal,39.9,54.4
General,09:45,30,6,Thursday,Normal,59.8,86.7
General,12:00,31,6,Tuesday,Normal,36.7,65.7
Pediatrics,11:45,28,4,Sunday,Normal,53.8,99.2
Surgery,14:30,25,7,Wednesday,Emergency,45.2,58.2
General,09:15,23,1,Friday,Normal,42,93.2
Surgery,08:30,23,5,Thursday,Normal,61.9,81.3
General,06:15,20,6,Tuesday,Normal,13,32.1
General,14:00,34,8,Sunday,Normal,46.6,117.6
Cardiology,09:45,17,3,Monday,Normal,68.1,79.8
General,10:15,19,6,Tuesday,Normal,47.4,62.4
Surgery,12:30,22,7,Thursday,Normal,43.4,54.4
Cardiology,10:15,17,4,Friday,Normal,32,48.7
Surgery,09:15,33,8,Sunday,Normal,43.2,124.1
General,12:00,23,4,Tuesday,Normal,54.2,57.8
Pediatrics,09:00,40,4,Sunday,Emergency,42.7,104.3
General,16:30,16,3,Thursday,Normal,49,83.2
General,12:00,29,7,Thursday,Normal,32.5,69.5
Orthopedics,10:30,19,2,Monday,Normal,63.5,92.2
Pediatrics,08:30,25,3,Monday,Emergency,49.7,54.5
Pediatrics,14:30,30,7,Saturday,Normal,53,96.5
Surgery,10:00,33,7,Saturday,Normal,62,157.2
Surgery,11:00,18,2,Sunday,Normal,29.6,98.9
Cardiology,09:30,37,8,Saturday,Normal,26.5,120.7
General,04:00,18,9,Friday,Normal,42.6,53
General,13:00,19,4,Thursday,Emergency,52.7,40
Pediatrics,15:15,29,6,Saturday,Normal,26.5,79.9
Surgery,16:45,21,6,Wednesday,Normal,28.2,78.8
Orthopedics,20:45,20,9,Monday,Normal,26.4,35.1
Orthopedics,17:45,23,5,Monday,Normal,55,85.2
General,12:00,27,4,Sunday,Normal,52.7,75
Cardiology,12:00,19,4,Friday,Emergency,57.7,35.5
Cardiology,17:30,23,1,Thursday,Normal,36.9,108.6
Cardiology,08:45,27,4,Sunday,Normal,43.7,98.5
Cardiology,18:00,36,8,Sunday,Normal,23.7,76.2
Surgery,15:45,21,8,Monday,Normal,52.9,71.7
Orthopedics,17:30,25,8,Thursday,Normal,31.6,46
Surgery,13:15,24,5,Tuesday,Normal,56.7,81.2
Surgery,15:45,18,4,Thursday,Normal,58.2,78.7
Surgery,07:30,28,4,Sunday,Normal,56.7,115.1
Orthopedics,16:30,16,11,Monday,Normal,57.8,42.4
Pediatrics,09:30,46,5,Sunday,Normal,42.3,132.3
Pediatrics,11:45,24,8,Tuesday,Normal,42.3,60.8
Cardiology,10:45,19,9,Friday,Normal,37.7,48.4
General,15:45,34,6,Sunday,Normal,37.3,105.2
Pediatrics,11:45,14,3,Wednesday,Emergency,28.4,24.4
Cardiology,16:00,11,4,Friday,Emergency,11.2,15.6
Cardiology,07:45,33,1,Saturday,Normal,45.5,112.1
Pediatrics,16:00,17,11,Sunday,Normal,65.5,48.6
Cardiology,16:30,26,4,Monday,Normal,39.1,88.2
General,06:45,26,6,Tuesday,Normal,5,50.1
Orthopedics,18:15,24,7,Monday,Normal,70.5,72.3
Cardiology,21:00,22,3,Friday,Normal,26,51.7
Pediatrics,13:00,24,10,Monday,Normal,60.5,36.8
Cardiology,07:15,20,4,Thursday,Emergency,16.7,17.6
Cardiology,09:00,15,5,Wednesday,Normal,44.9,62.9
Pediatrics,12:15,23,3,Friday,Normal,58.1,73.6
Surgery,09:15,30,6,Sunday,Normal,26.2,110.6
Surgery,15:45,29,3,Monday,Normal,30.3,96.6
Pediatrics,06:30,17,9,Wednesday,Normal,52.8,18.2
Pediatrics,08:15,18,5,Wednesday,Normal,19.5,65.2
Orthopedics,04:15,9,2,Monday,Normal,60.6,54.2
Pediatrics,12:15,29,3,Monday,Normal,42.6,60.6
Orthopedics,12:00,16,6,Thursday,Normal,29.8,22.5
Cardiology,10:00,20,6,Thursday,Normal,32.7,64.2
General,07:00,27,7,Saturday,Normal,30.4,75.5
Pediatrics,19:30,17,6,Friday,Normal,55.5,44.4
Cardiology,03:45,25,3,Thursday,Normal,57.2,82.9
Cardiology,17:45,15,5,Wednesday,Normal,6.2,40
Orthopedics,06:15,28,7,Saturday,Normal,65.5,73.3
Pediatrics,13:30,20,3,Tuesday,Emergency,62.6,24.7
Orthopedics,13:30,21,7,Saturday,Normal,44.5,52.2
General,01:45,15,4,Tuesday,Emergency,55.7,36
Pediatrics,11:00,30,3,Friday,Normal,39.1,85.1
Surgery,06:15,17,6,Wednesday,Normal,52.7,32.8
Cardiology,16:00,23,6,Sunday,Normal,36,60.7
Surgery,10:30,23,4,Thursday,Normal,24.3,74.4
Pediatrics,18:00,22,5,Wednesday,Normal,27.1,43.8
Cardiology,15:15,20,2,Tuesday,Normal,24.5,76.4
Pediatrics,14:00,26,7,Friday,Normal,56.7,74.9
Orthopedics,14:45,23,3,Sunday,Normal,53.5,101.8
Cardiology,07:45,19,5,Friday,Emergency,34.8,13.3
Pediatrics,13:45,21,1,Tuesday,Normal,46.5,64.6
Cardiology,14:45,25,6,Saturday,Emergency,56.6,56.6
Pediatrics,16:45,21,9,Saturday,Normal,49.8,52.3
Surgery,11:15,18,3,Thursday,Normal,40.7,84.6
Orthopedics,14:30,22,2,Thursday,Normal,22.7,77.6
Orthopedics,12:00,12,4,Friday,Normal,48.3,32.6
Orthopedics,13:15,19,8,Tuesday,Emergency,16.3,2
Cardiology,12:00,24,5,Thursday,Normal,37.4,47.9
General,08:45,20,4,Wednesday,Normal,65.4,92.3
Cardiology,18:45,30,5,Sunday,Normal,48.6,80.9
Cardiology,16:30,22,7,Monday,Emergency,25.3,33.9
Cardiology,08:45,19,6,Monday,Normal,36.4,58.9
Orthopedics,07:15,35,2,Saturday,Normal,25.1,106.1
Pediatrics,12:00,17,5,Wednesday,Normal,55.4,49.1
Pediatrics,05:45,28,5,Sunday,Normal,25.3,53.1
Cardiology,11:00,22,4,Tuesday,Normal,32.6,69.2
Pediatrics,10:45,26,5,Sunday,Normal,44.9,97.6
General,08:15,29,1,Thursday,Normal,40.1,112
Cardiology,12:30,28,8,Sunday,Emergency,27.1,45.8
Surgery,11:00,20,3,Friday,Emergency,31.6,74.5
General,19:45,41,1,Saturday,Normal,71.6,153.3
General,15:45,12,3,Monday,Normal,14,59.7
Pediatrics,03:30,15,5,Thursday,Normal,47.9,32.3
Orthopedics,10:15,24,4,Tuesday,Normal,36.8,79.9
Orthopedics,10:45,22,2,Monday,Normal,54.1,78.3
General,13:00,21,6,Saturday,Emergency,47.1,52.7
Surgery,07:30,29,4,Sunday,Normal,37.2,91.8
Cardiology,07:00,19,5,Friday,Normal,58.4,46.2
General,08:15,17,3,Wednesday,Normal,43.5,67.7
General,08:30,30,5,Saturday,Normal,35.1,102.8
Pediatrics,08:30,17,5,Monday,Emergency,17.7,22.6
Cardiology,05:45,17,8,Monday,Normal,62.2,30.3
Surgery,10:45,24,6,Sunday,Normal,19.8,92.6
Orthopedics,11:30,24,6,Friday,Normal,45.9,64.1
Cardiology,04:45,16,8,Friday,Normal,17.4,8.4
General,10:30,17,9,Tuesday,Normal,46.9,49.1
Surgery,20:15,11,1,Tuesday,Normal,43.7,47.1
Surgery,15:00,23,4,Friday,Normal,33.6,100.6
Cardiology,11:30,25,9,Monday,Normal,46.8,65.3
General,08:15,17,3,Tuesday,Normal,33.6,78.5
Pediatrics,13:45,14,6,Friday,Normal,88.6,56.1
Surgery,11:15,21,6,Monday,Normal,38.4,78.2
Pediatrics,18:15,25,1,Saturday,Normal,28,100.1
Pediatrics,09:15,12,5,Wednesday,Normal,47.8,41.2
Cardiology,13:45,20,4,Saturday,Normal,54.4,75.9
General,13:45,16,5,Tuesday,Normal,39.7,46.3
Cardiology,09:45,16,3,Wednesday,Normal,53.8,68.6
Cardiology,14:15,25,9,Tuesday,Normal,51.9,78.8
Cardiology,11:30,20,3,Friday,Normal,40.8,78.7
Cardiology,08:45,29,7,Saturday,Normal,18.1,86.8
Orthopedics,09:00,40,7,Sunday,Normal,75.7,125.5
Orthopedics,16:30,22,3,Friday,Normal,17.9,72.6
Cardiology,07:00,24,9,Saturday,Normal,45,36.8
Orthopedics,17:15,29,3,Sunday,Normal,23.4,104
Orthopedics,06:00,19,6,Tuesday,Normal,33.6,33.1
General,10:00,18,6,Friday,Normal,33.6,47.6
Surgery,11:15,20,6,Thursday,Normal,56.8,72.6
General,10:45,29,5,Thursday,Normal,55,112.3
Cardiology,10:15,15,5,Thursday,Normal,26.7,30.8
Cardiology,12:15,27,1,Saturday,Emergency,48.2,82.5
Cardiology,13:15,20,6,Thursday,Emergency,45.4,28.3
Orthopedics,09:45,18,4,Wednesday,Normal,5,55.6
Surgery,19:00,23,9,Saturday,Emergency,30.9,40.7
Surgery,09:15,23,4,Friday,Normal,39.6,91.6
General,03:30,20,4,Thursday,Emergency,68.9,33.5
Pediatrics,13:15,28,3,Saturday,Normal,14.5,72.1
Pediatrics,10:15,20,3,Wednesday,Emergency,32.7,46.4
Surgery,14:15,21,1,Tuesday,Normal,32,107.5
Pediatrics,11:30,18,7,Monday,Normal,42.8,55.8
General,18:45,22,5,Tuesday,Normal,52,61.9
Orthopedics,15:30,16,7,Friday,Normal,33.8,51.4
Cardiology,10:00,15,6,Friday,Normal,46.2,49.8
Cardiology,07:30,22,4,Thursday,Emergency,49.5,29.1
Cardiology,13:15,17,6,Monday,Normal,46.6,48.7
Surgery,11:15,24,6,Saturday,Normal,25.3,88.9
Cardiology,07:15,22,7,Thursday,Normal,14.4,39
Cardiology,11:00,20,3,Tuesday,Normal,44.6,69.1
Cardiology,09:30,31,10,Sunday,Normal,64.8,87.7
Orthopedics,11:45,26,5,Thursday,Normal,33.5,81.1
Pediatrics,12:45,34,1,Thursday,Normal,20.3,63.7
Orthopedics,09:15,16,6,Tuesday,Emergency,50.1,27.2
Surgery,11:00,20,10,Thursday,Normal,54,53.3
General,08:00,11,2,Friday,Normal,27.1,48.7
Orthopedics,11:45,26,9,Sunday,Normal,56.4,87.4
Orthopedics,15:30,17,7,Tuesday,Normal,42.3,64
General,08:15,15,8,Wednesday,Normal,45.8,33
Surgery,12:45,22,5,Saturday,Normal,43.2,86.1
Cardiology,11:30,26,8,Monday,Normal,26.7,71.9
Cardiology,08:30,18,5,Monday,Normal,44.3,64.4
Cardiology,10:30,26,6,Sunday,Normal,55.6,91.4
Pediatrics,08:45,17,4,Tuesday,Normal,30.5,61
Surgery,12:45,18,3,Friday,Normal,13.8,64.4
Pediatrics,07:15,36,1,Sunday,Normal,5,108.4
General,13:00,20,5,Wednesday,Normal,63.4,42.8
General,11:30,17,5,Thursday,Normal,48.9,71.8
General,09:45,24,5,Friday,Normal,38.9,77.8
Cardiology,05:15,22,4,Sunday,Normal,42.4,73.9
Orthopedics,10:15,29,6,Friday,Normal,30.7,68.8
Cardiology,08:30,16,2,Monday,Normal,40.6,80
Surgery,11:30,26,4,Sunday,Normal,52.7,109.7
Orthopedics,16:00,28,5,Sunday,Normal,41.5,92.7
Cardiology,11:15,32,6,Saturday,Normal,45.6,106.6
Cardiology,12:45,21,9,Tuesday,Emergency,25.2,3
Orthopedics,07:30,17,7,Wednesday,Emergency,20,3.7
General,13:30,20,4,Tuesday,Normal,48.6,66.8
Cardiology,10:00,15,4,Monday,Emergency,51.3,38.4
Surgery,18:00,16,7,Wednesday,Normal,53,26.8
Surgery,05:00,16,5,Tuesday,Emergency,35.6,16.9
General,16:45,20,5,Tuesday,Normal,20.9,60.7
Cardiology,16:30,26,10,Friday,Normal,62,64.3
Cardiology,15:00,23,5,Sunday,Normal,55.9,93.9
General,06:15,22,6,Friday,Emergency,23.6,28.8
Cardiology,12:15,24,3,Monday,Normal,32.4,62.4
General,09:45,25,5,Friday,Normal,35.5,78.6
Orthopedics,15:15,22,4,Monday,Normal,40,85.6
Surgery,11:15,18,7,Friday,Normal,42.4,62.1
Surgery,05:30,17,6,Friday,Emergency,40.8,18.8
Surgery,11:30,23,5,Thursday,Normal,40.1,86.1
Orthopedics,16:45,20,5,Monday,Emergency,50.6,38.5
Pediatrics,18:30,20,7,Monday,Emergency,34.1,2
Orthopedics,11:00,15,5,Monday,Normal,59.9,47
Surgery,13:30,23,5,Monday,Normal,24.2,75.5
Pediatrics,09:15,16,2,Friday,Normal,38.8,66.6
Pediatrics,10:00,22,1,Wednesday,Normal,56,88.3
Orthopedics,15:00,19,8,Monday,Normal,46.1,52.5
General,04:30,17,5,Monday,Emergency,56.3,10.1
Cardiology,16:00,19,5,Friday,Normal,42,64.8
Cardiology,08:30,24,2,Thursday,Normal,42.9,96.5
Pediatrics,13:45,25,1,Thursday,Normal,41.7,69.5
Cardiology,13:45,22,6,Tuesday,Normal,30.1,36.9
Surgery,12:45,23,7,Tuesday,Normal,5,42.5
General,10:00,27,6,Friday,Normal,57.5,95.8
Surgery,07:15,26,6,Saturday,Normal,39.1,85.1
General,12:00,21,6,Tuesday,Normal,40.9,37.2
Pediatrics,12:45,21,2,Friday,Normal,5,41.1
Cardiology,12:15,13,7,Friday,Normal,66.2,24.7
Cardiology,08:30,19,6,Thursday,Normal,5,70.5
Surgery,08:30,28,6,Saturday,Normal,47.7,105
Surgery,11:00,14,5,Friday,Normal,30.9,50.6
Orthopedics,10:45,33,5,Saturday,Normal,36.4,102.3
Cardiology,09:45,30,1,Monday,Normal,14.3,103
Cardiology,07:45,26,3,Tuesday,Normal,14.7,61
Orthopedics,12:15,31,3,Sunday,Normal,32.2,100
Cardiology,12:30,34,5,Tuesday,Normal,37.3,59
General,12:45,24,3,Friday,Emergency,56.4,33.3
Cardiology,15:00,20,3,Tuesday,Normal,47.1,84.4
Surgery,10:15,28,6,Tuesday,Normal,62.9,108.8
Surgery,07:45,13,7,Friday,Normal,8.5,12.7
Surgery,17:45,28,6,Sunday,Normal,22,115.7
General,07:00,17,4,Friday,Normal,31.6,35.8
Surgery,16:45,10,5,Tuesday,Normal,13.1,38.8
Surgery,17:30,27,4,Sunday,Normal,59.4,126.4
Pediatrics,09:15,20,4,Tuesday,Normal,74.2,64.4
Surgery,12:00,27,7,Thursday,Emergency,74.6,61.1
Surgery,08:30,27,4,Sunday,Normal,52.4,132.3
Pediatrics,19:30,37,6,Sunday,Normal,12.7,84.2
Cardiology,08:45,15,7,Thursday,Normal,26.7,44.1
Orthopedics,14:15,28,3,Sunday,Normal,16.7,105.8
Surgery,21:15,11,7,Monday,Emergency,20.9,2
Cardiology,19:00,18,9,Thursday,Normal,38.1,30.5
Orthopedics,17:30,33,4,Wednesday,Emergency,25,73.4
General,10:30,24,2,Tuesday,Emergency,39,74.8
General,14:00,26,2,Sunday,Emergency,45.5,100.2
Pediatrics,12:15,30,8,Sunday,Emergency,18.2,20.7
General,09:30,22,6,Wednesday,Emergency,42.1,71.2
Pediatrics,15:00,20,1,Friday,Normal,52.5,86.3
General,10:15,15,5,Friday,Normal,46.9,62.4
Cardiology,14:30,26,5,Monday,Normal,37.1,88.3
General,18:15,17,7,Wednesday,Emergency,41.6,2
Cardiology,15:15,16,3,Monday,Normal,34.1,60.5
Orthopedics,13:15,18,7,Saturday,Normal,31.4,30.5
Pediatrics,15:30,36,7,Saturday,Normal,49.8,96.7
Pediatrics,06:30,18,6,Saturday,Normal,59.4,48.1
General,15:30,22,7,Thursday,Normal,45.1,74.1
Cardiology,03:15,24,5,Wednesday,Normal,56.4,59.7
General,12:45,27,5,Thursday,Normal,51.4,67
General,08:30,26,3,Friday,Normal,38.8,104.9
Cardiology,08:45,29,3,Friday,Normal,33.2,95.5
General,16:15,19,5,Friday,Normal,33.7,63.6
Pediatrics,08:15,17,5,Friday,Normal,32.5,42.8
Surgery,13:45,32,4,Saturday,Normal,49.2,120.8
General,04:15,21,5,Saturday,Emergency,61.5,65.4
Surgery,16:00,21,1,Wednesday,Normal,40.6,111.8
General,13:30,32,6,Thursday,Normal,51.1,78.3
Surgery,07:30,17,8,Friday,Normal,10.3,18.6
Surgery,16:15,27,3,Monday,Normal,17.9,96
Pediatrics,05:15,31,4,Monday,Normal,48.8,63.2
Cardiology,12:15,20,6,Tuesday,Normal,28.1,25.5
Orthopedics,23:30,22,6,Thursday,Emergency,43.1,24.1
Surgery,15:45,27,2,Saturday,Normal,57.3,133.4
Cardiology,10:00,22,2,Friday,Emergency,10.6,61.3
Orthopedics,13:00,12,7,Thursday,Normal,43.7,20.4
Surgery,15:00,20,6,Monday,Normal,46.5,66.7
General,03:30,14,7,Saturday,Emergency,64,22.3
Cardiology,11:15,25,2,Sunday,Normal,21.4,90.4
Surgery,07:00,15,2,Tuesday,Normal,52,67.6
